// DO NOT EDIT: This file was automatically generated by ChromaticBlade.py

new entry "CHROMATICBLADE_CHROMATICWEAPON_ACID"
type "StatusData"
data "StatusType" "BOOST"
data "Boosts" "WeaponEnchantment(1);WeaponDamage(1d4,Acid)"
data "Description" "h85b8f239g1079gf35ag8aa9gd5ca4d6457ca"
data "DescriptionParams" "DealDamage(1d4,Acid)"
data "DisplayName" "h37040088gfb6fg4f7dg435eg2983ea983101"
data "Icon" "Spell_Transmutation_ElementalWeapon_Acid"
data "StackId" "ELEMENTAL_WEAPON"
data "StatusEffect" "3798c69d-e202-4323-b660-2e1778dafafc"
data "StatusGroups" "SG_RemoveOnRespec"
data "StatusPropertyFlags" "IgnoreResting"
