// DO NOT EDIT: This file was automatically generated by OpenHand.py

new entry "OpenHand_SpinningKick"
type "SpellData"
data "SpellType" "Shout"
using "Shout_Whirlwind"
data "CastEffect" "208b02ef-5847-493d-94b8-a901691979ef"
data "CastSound" "Spell_Cast_Monk_FlurryofBlows_L1to3"
data "DamageType" "Bludgeoning"
data "Description" "hd5f0efc7gf4a2g8e00gd67bg8586e5b5711f"
data "DisplayName" "h8bcaa0begbdc3g683cg3628g322f74ff1fee"
data "HitAnimationType" "PhysicalDamage"
data "Icon" "Action_IronboundPursuit"
data "PrepareEffect" "85386181-e9ec-4996-a1dd-7f09f3013189"
data "PrepareSound" "Vocal_Component_Monk_Damage"
data "Sheathing" "Sheathed"
data "SpellFlags" "IsMelee;IsHarmful;DisableBlood"
data "SpellRoll" "Attack(AttackType.MeleeUnarmedAttack)"
data "SpellSuccess" "DealDamage(UnarmedDamage,Bludgeoning);IF(not SavingThrow(Ability.Dexterity,ManeuverSaveDC())):ApplyStatus(PRONE,100,1)"
data "TargetEffect" "82b8aad9-5031-41f8-a871-dc55eb52af88"
data "TooltipAttackSave" "MeleeUnarmedAttack"
data "TooltipDamageList" "DealDamage(UnarmedDamage,Bludgeoning)"
data "TooltipStatusApply" "ApplyStatus(PRONE,100,1)"
data "UseCosts" "BonusActionPoint:1;KiPoint:1"
data "VerbalIntent" "Damage"
data "WeaponTypes" ""
