// DO NOT EDIT: This file was automatically generated by PaladinFullCaster.py

new entry "ARM_ScaleMail_Body_Paladin_Crown"
type "Armor"
using "ARM_ScaleMail_Body_Paladin_Crown"
data "Ability Modifier Cap" ""
data "ArmorClass" "20"
data "ArmorType" "Plate"
data "Armor Class Ability" ""
data "Boosts" ""
data "MaxAmount" "1"
data "MinAmount" "1"
data "MinLevel" "7"
data "PassivesOnEquip" "ARM_MagicalPlate_2_Passive;MAG_MAG_EndGame_Plate_Armor_Passive"
data "Priority" "1"
data "Proficiency Group" "HeavyArmor"
data "Rarity" "Legendary"
data "StatusOnEquip" "MAG_BLADE_WARD;MAG_END_GAME_RESISTANCE"
data "Unique" "1"
data "ValueLevel" "10"
data "ValueUUID" "adfdafe5-f4da-4c64-a1e6-a33d626437d2"
data "Weight" "1"
