new entry "Serenade_ProdigySpinningKick"
type "SpellData"
data "SpellType" "Shout"
using "Shout_Whirlwind"
data "DisplayName" "Serenade_ProdigySpinningKick_DisplayName"
data "Description" "Serenade_ProdigySpinningKick_Description"
data "Icon" "Action_IronboundPursuit"
data "PrepareSound" "Vocal_Component_Monk_Damage"
data "CastSound" "Spell_Cast_Monk_FlurryofBlows_L1to3"
data "HitAnimationType" "PhysicalDamage"
data "SpellFlags" "IsMelee;IsHarmful;DisableBlood"
data "SpellRoll" "Attack(AttackType.MeleeUnarmedAttack)"
data "SpellSuccess" "DealDamage(UnarmedDamage,Bludgeoning);IF(not SavingThrow(Ability.Dexterity,ManeuverSaveDC())):ApplyStatus(PRONE,100,1)"
data "TooltipAttackSave" "MeleeUnarmedAttack"
data "TooltipDamageList" "DealDamage(UnarmedDamage,Bludgeoning)"
data "TooltipStatusApply" "ApplyStatus(PRONE,100,1)"
data "DamageType" "Bludgeoning"
data "Sheathing" "Sheathed"
data "VerbalIntent" "Damage"
data "WeaponTypes" ""
data "PrepareEffect" "85386181-e9ec-4996-a1dd-7f09f3013189"
data "CastEffect" "208b02ef-5847-493d-94b8-a901691979ef"
data "TargetEffect" "82b8aad9-5031-41f8-a871-dc55eb52af88"
data "UseCosts" "ActionPoint:1;KiPoint:2"
