// DO NOT EDIT: This file was automatically generated by Serenade.py

new entry "SERENADE_MEDLEY"
type "StatusData"
data "StatusType" "BOOST"
data "Boosts" "IncreaseMaxHP(LevelMapValue(Serenade_AidValue));Reroll(Attack,1,true);Reroll(SkillCheck,1,true);Reroll(RawAbility,1,true);Reroll(SavingThrow,1,true);DarkvisionRangeMin(18);ActiveCharacterLight(c46e7ba8-e746-7020-5146-287474d7b9f7)"
data "Description" "Serenade_MedleyBoost_Description"
data "DescriptionParams" "LevelMapValue(Serenade_AidValue);RegainHitPoints(LevelMapValue(Serenade_HealValue));Distance(18)"
data "DisplayName" "Serenade_Medley_DisplayName"
data "Icon" "Action_Song_SingForMe"
data "StackId" "AID"
data "StatusGroups" "SG_RemoveOnRespec"
data "TickFunctors" "IF(HasHPPercentageLessThan(100) and not IsDowned() and not Dead()):RegainHitPoints(LevelMapValue(Serenade_HealValue))"
data "TickType" "StartTurn"
